indicator, scenario, year, change, ensemble, dataset, tiff, url
annual_tasmin, rcp45, 2000, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2000, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp45_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp45, 2010, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp45, 2010, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp45, 2010, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_1995-2025_nexgddp.tif
